Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
1/5/2007,0.7471,0.7551,0.7446,0.7537,47161000000,0.0105,0.003877913,1409.71,5572,Bear
1/7/2007,0.7538,0.754,0.752,0.7526,3527000000,-0.002,-0.000634301,1409.71,5572,Bear
1/8/2007,0.7526,0.7545,0.7499,0.752,50260000000,-0.0046,-0.000346373,1412.84,5502,Bear
1/9/2007,0.752,0.7531,0.7478,0.7495,32656000000,-0.0053,-0.001446203,1412.11,5589.7,Bull
1/10/2007,0.7495,0.7565,0.7483,0.7547,38679000000,0.0082,0.003002713,1414.85,5520.9,Bear
1/11/2007,0.7547,0.7564,0.7493,0.7501,39183000000,-0.0071,-0.002655185,1423.82,5564.9,Bull
1/12/2007,0.7501,0.7551,0.7496,0.7545,42737000000,0.0055,0.002540079,1430.73,5638.8,Bull
1/14/2007,0.7545,0.7576,0.7535,0.7567,4771000000,0.0041,0.00126449,1430.73,5638.8,Bear
1/15/2007,0.7567,0.7576,0.7525,0.753,42492000000,-0.0051,-0.002128758,1430.73,5673.8,Bear
1/16/2007,0.7532,0.7555,0.7499,0.7514,51150000000,-0.0056,-0.000923785,1431.9,5673.4,Bear
1/17/2007,0.7514,0.7518,0.7455,0.7474,64821000000,-0.0063,-0.002318097,1430.62,5646.1,Bull
1/18/2007,0.7474,0.7492,0.7438,0.7475,53169000000,0.0054,5.81E-05,1426.37,5672.4,Bull
1/19/2007,0.7475,0.7499,0.7458,0.7475,48126000000,-0.0041,0,1430.5,5673.1,Bull
1/21/2007,0.7476,0.7509,0.7469,0.7496,3076000000,0.004,0.001218381,1430.5,5673.1,Bull
1/22/2007,0.7496,0.7543,0.7479,0.7538,51014000000,0.0064,0.002426555,1422.95,5726.6,Bear
1/23/2007,0.7539,0.754,0.7481,0.7508,46377000000,-0.0059,-0.001731869,1427.99,5735,Bull
1/24/2007,0.7508,0.7556,0.75,0.7527,49452000000,0.0056,0.001097652,1440.13,5768.8,Bear
1/25/2007,0.7527,0.756,0.7501,0.7526,51667000000,-0.0059,-5.77E-05,1423.9,5769.9,Bear
1/26/2007,0.7526,0.7543,0.7486,0.749,54844000000,-0.0057,-0.002082396,1422.18,5769.9,Bull
1/28/2007,0.749,0.7502,0.7483,0.7496,3144000000,0.0019,0.00034776,1422.18,5769.9,Bear
1/29/2007,0.7495,0.7514,0.7473,0.7487,42179000000,-0.0041,-0.000521745,1420.62,5760.4,Bull
1/30/2007,0.7488,0.7587,0.7483,0.7575,52855000000,0.0104,0.005074804,1428.82,5812.5,Bear
1/31/2007,0.7575,0.7579,0.7519,0.7527,51867000000,-0.006,-0.002760721,1438.24,5773.4,Bull
2/1/2007,0.7527,0.7555,0.75,0.7529,48636000000,0.0055,0.000115381,1445.94,5814.1,Bear
2/2/2007,0.7531,0.7537,0.7469,0.7488,44095000000,-0.0068,-0.002371461,1448.39,5831.5,Bear
2/4/2007,0.7488,0.7499,0.7479,0.7484,2840000000,-0.002,-0.000232057,1448.39,5831.5,Bear
2/5/2007,0.7484,0.7493,0.7407,0.7414,51373000000,-0.0086,-0.004081197,1446.99,5822.1,Bear
2/6/2007,0.7414,0.7447,0.7387,0.7404,51253000000,-0.006,-0.000586172,1448,5870.5,Bear
2/7/2007,0.7404,0.7412,0.7357,0.7389,56983000000,-0.0055,-0.000880744,1450.02,5899.8,Bull
2/8/2007,0.7389,0.7418,0.7374,0.7409,51801000000,0.0044,0.001173928,1448.31,5899.5,Bear
2/9/2007,0.7409,0.7437,0.7364,0.7376,53073000000,-0.0073,-0.001938687,1438.06,5927.2,Bear
2/11/2007,0.7376,0.7376,0.7359,0.7367,2922000000,-0.0017,-0.000530238,1438.06,5927.2,Bull
2/12/2007,0.7368,0.7398,0.7354,0.737,52880000000,0.0044,0.000176818,1433.37,5924.1,Bull
2/13/2007,0.737,0.7424,0.7351,0.7406,54300000000,0.0073,0.00211622,1444.26,5936.6,Bear
2/14/2007,0.7407,0.7443,0.7367,0.7389,52784000000,-0.0076,-0.000998041,1455.3,5960.5,Bull
2/15/2007,0.739,0.7415,0.7356,0.741,49945000000,0.0059,0.001232541,1456.81,5992.8,Bear
2/16/2007,0.7409,0.7413,0.7341,0.7391,56243000000,-0.0072,-0.001115006,1455.54,5953.7,Bear
2/18/2007,0.7391,0.7396,0.7381,0.739,3051000000,-0.0015,-5.88E-05,1455.54,5953.7,Bull
2/19/2007,0.7388,0.7417,0.7376,0.7401,37394000000,0.0041,0.000645966,1455.54,5990.1,Bear
