@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute NIKKEI numeric
@attribute Class { Bear , Bull } 


@data
114.29 , 114.69 , 113.41 , 114.575 , 4.79E+12 , 1.28 , 0.001081633 , 1423.82 , 16838.17 , Bear 
114.575 , 114.785 , 114.14 , 114.16 , 4.71E+12 , -0.645 , -0.001575906 , 1430.73 , 17057.01 , Bear 
114.18 , 114.28 , 113.78 , 113.86 , 2.64E+11 , -0.5 , -0.001142781 , 1430.73 , 17057.01 , Bull 
113.86 , 115.185 , 113.85 , 115.07 , 5.24E+12 , 1.335 , 0.004590934 , 1430.73 , 17209.92 , Bull 
115.07 , 115.93 , 114.56 , 115.57 , 4.88E+12 , 1.37 , 0.001883 , 1431.9 , 17202.46 , Bear 
115.57 , 115.88 , 114.79 , 115.28 , 4.69E+12 , -1.09 , -0.001091145 , 1430.62 , 17261.35 , Bull 
115.28 , 115.61 , 114.925 , 115.51 , 3.93E+12 , 0.685 , 0.000865616 , 1426.37 , 17370.93 , Bear 
115.51 , 115.66 , 114.955 , 115.3 , 4.35E+12 , -0.705 , -0.000790277 , 1430.5 , 17310.44 , Bear 
115.3 , 115.33 , 114.98 , 115.18 , 3841000000 , -0.35 , -0.000452233 , 1430.5 , 17310.44 , Bear 
115.18 , 115.32 , 114.14 , 114.45 , 3.04E+12 , -1.18 , -0.002761277 , 1422.95 , 17424.18 , Bull 
114.45 , 115.13 , 114.39 , 115.07 , 5.26E+12 , 0.74 , 0.002346316 , 1427.99 , 17408.57 , Bull 
115.07 , 115.975 , 114.635 , 115.79 , 4.32E+12 , 1.34 , 0.002708941 , 1440.13 , 17507.4 , Bull 
115.79 , 116.6 , 115.44 , 116.305 , 4.13E+12 , 1.16 , 0.001927332 , 1423.9 , 17458.3 , Bull 
116.305 , 117.43 , 116.11 , 117.27 , 3.25E+12 , 1.32 , 0.00358854 , 1422.18 , 17421.93 , Bear 
117.34 , 117.34 , 117 , 117.03 , 1.36E+11 , -0.34 , -0.00088972 , 1422.18 , 17421.93 , Bull 
117.03 , 117.81 , 117 , 117.63 , 2.61E+12 , 0.81 , 0.002220892 , 1420.62 , 17470.46 , Bear 
117.63 , 117.78 , 116.68 , 117.32 , 2.59E+12 , -1.1 , -0.001146043 , 1428.82 , 17490.19 , Bull 
117.32 , 118.16 , 117.06 , 117.96 , 3.85E+12 , 1.1 , 0.00236271 , 1438.24 , 17383.42 , Bull 
117.96 , 118.65 , 117.86 , 118.53 , 4.06E+12 , 0.79 , 0.002093521 , 1445.94 , 17519.5 , Bull 
118.53 , 119.39 , 118.32 , 118.9 , 4.26E+12 , 1.07 , 0.00135357 , 1448.39 , 17547.11 , Bear 
118.93 , 118.93 , 118.7 , 118.87 , 2.37E+11 , -0.23 , -0.000109592 , 1448.39 , 17547.11 , Bull 
118.87 , 119.12 , 118.48 , 119.08 , 3.81E+12 , 0.64 , 0.000766563 , 1446.99 , 17344.8 , Bear 
119.08 , 119.16 , 117.555 , 117.67 , 3.80E+12 , -1.605 , -0.005173073 , 1448 , 17406.86 , Bull 
117.67 , 118.81 , 117.64 , 118.495 , 3.82E+12 , 1.17 , 0.003034272 , 1450.02 , 17292.32 , Bull 
118.495 , 118.905 , 118.3 , 118.78 , 5.27E+12 , 0.605 , 0.001043296 , 1448.31 , 17292.48 , Bear 
118.78 , 118.93 , 116.875 , 117.85 , 4.37E+12 , -2.055 , -0.003413734 , 1438.06 , 17504.33 , Bear 
117.81 , 117.85 , 117.66 , 117.69 , 3.45E+11 , -0.19 , -0.000590024 , 1438.06 , 17504.33 , Bear 
117.69 , 118.25 , 117.37 , 117.53 , 6.19E+12 , -0.88 , -0.000590827 , 1433.37 , 17504.33 , Bull 
117.53 , 117.725 , 117.115 , 117.63 , 5.12E+12 , 0.61 , 0.000369361 , 1444.26 , 17621.45 , Bull 
117.63 , 118.11 , 116.75 , 117.96 , 5.25E+12 , 1.36 , 0.001216667 , 1455.3 , 17752.64 , Bear 
117.96 , 118.255 , 117.31 , 117.5 , 3.48E+12 , -0.945 , -0.001696897 , 1456.81 , 17897.23 , Bull 
117.5 , 118.87 , 117.455 , 118.04 , 4.10E+12 , 1.415 , 0.001991334 , 1455.54 , 17875.65 , Bull 
118.08 , 118.33 , 118.04 , 118.1 , 2.24E+11 , 0.29 , 0.000220697 , 1455.54 , 17875.65 , Bull 
118.1 , 118.38 , 117.92 , 118.36 , 4.80E+12 , 0.46 , 0.000955059 , 1455.54 , 17940.09 , Bull 
118.36 , 118.995 , 118.34 , 118.79 , 5.94E+12 , 0.655 , 0.001574926 , 1459.68 , 17939.12 , Bear 
