@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute FTSE numeric
@attribute Class { Bear , Bull } 


@data
1.18475 , 1.18865 , 1.1777 , 1.18465 , 2.22392E+12 , -0.01095 , -3.66586E-05 , 1418.3 , 6220.8 , Bear 
1.1845 , 1.1846 , 1.1844 , 1.1845 , 1364000000 , -0.0002 , -5.49937E-05 , 1418.3 , 6220.8 , Bear 
1.1844 , 1.1846 , 1.18105 , 1.18135 , 66594000000 , -0.00355 , -0.001156479 , 1418.3 , 6220.8 , Bull 
1.18135 , 1.20335 , 1.1812 , 1.20315 , 3.53821E+12 , 0.02215 , 0.00794119 , 1418.3 , 6310.9 , Bull 
1.20315 , 1.2144 , 1.2025 , 1.21085 , 3.7322E+12 , 0.0119 , 0.002770571 , 1416.6 , 6319 , Bear 
1.21085 , 1.212 , 1.2066 , 1.2104 , 5.30863E+12 , -0.0054 , -0.000161431 , 1418.34 , 6287 , Bull 
1.2104 , 1.2181 , 1.2078 , 1.21515 , 3.29084E+12 , 0.0103 , 0.001700976 , 1409.71 , 6220.1 , Bear 
1.2153 , 1.2154 , 1.21345 , 1.21395 , 2.04961E+11 , -0.00195 , -0.000429092 , 1409.71 , 6220.1 , Bear 
1.21395 , 1.2153 , 1.2053 , 1.20725 , 4.43914E+12 , -0.01 , -0.002403585 , 1412.84 , 6194.2 , Bear 
1.20725 , 1.2109 , 1.2036 , 1.206 , 5.29647E+12 , -0.0073 , -0.000449906 , 1412.11 , 6196.1 , Bull 
1.206 , 1.2145 , 1.2045 , 1.2137 , 5.43131E+12 , 0.01 , 0.002764044 , 1414.85 , 6160.7 , Bear 
1.2137 , 1.2163 , 1.2006 , 1.2042 , 5.45609E+12 , -0.0157 , -0.003412729 , 1423.82 , 6230.1 , Bull 
1.2042 , 1.2142 , 1.2029 , 1.2141 , 4.41829E+12 , 0.0113 , 0.003555836 , 1430.73 , 6239 , Bull 
1.2139 , 1.2174 , 1.2134 , 1.2165 , 2.06435E+11 , 0.004 , 0.000857654 , 1430.73 , 6239 , Bear 
1.2165 , 1.217 , 1.2105 , 1.2116 , 4.82803E+12 , -0.0065 , -0.001752849 , 1430.73 , 6263.5 , Bear 
1.2116 , 1.21395 , 1.20505 , 1.2106 , 4.98205E+12 , -0.0089 , -0.000358595 , 1431.9 , 6215.7 , Bear 
1.2106 , 1.2159 , 1.207 , 1.2105 , 5.08348E+12 , -0.0089 , -3.58758E-05 , 1430.62 , 6204.5 , Bear 
1.2105 , 1.2125 , 1.2053 , 1.2089 , 5.00872E+12 , -0.0072 , -0.000574416 , 1426.37 , 6210.3 , Bull 
1.2089 , 1.2141 , 1.20395 , 1.2135 , 4.89838E+12 , 0.01015 , 0.001649403 , 1430.5 , 6237.2 , Bull 
1.2134 , 1.2168 , 1.2132 , 1.2165 , 4344000000 , 0.0036 , 0.001072333 , 1430.5 , 6237.2 , Bull 
1.2164 , 1.2322 , 1.2135 , 1.2303 , 3.71341E+12 , 0.0187 , 0.004898911 , 1422.95 , 6218.4 , Bear 
1.2303 , 1.231 , 1.2256 , 1.2262 , 5.65458E+12 , -0.0054 , -0.001449712 , 1427.99 , 6227.6 , Bear 
1.2262 , 1.23225 , 1.2231 , 1.2243 , 4.48321E+12 , -0.00915 , -0.000673462 , 1440.13 , 6314.8 , Bear 
1.2243 , 1.2269 , 1.2196 , 1.2212 , 4.92867E+12 , -0.0073 , -0.001101054 , 1423.9 , 6269.3 , Bear 
1.2212 , 1.22345 , 1.2086 , 1.2093 , 4.17083E+12 , -0.01485 , -0.004252743 , 1422.18 , 6228 , Bull 
1.209 , 1.211 , 1.2089 , 1.2104 , 1.30945E+11 , 0.0021 , 0.000394862 , 1422.18 , 6228 , Bear 
1.2104 , 1.21145 , 1.2064 , 1.2082 , 3.89626E+12 , -0.00505 , -0.000790084 , 1420.62 , 6239.9 , Bull 
1.2082 , 1.2189 , 1.2079 , 1.2146 , 3.91594E+12 , 0.011 , 0.002294445 , 1428.82 , 6242 , Bear 
1.2146 , 1.2163 , 1.2047 , 1.20635 , 4.03929E+12 , -0.0116 , -0.002959948 , 1438.24 , 6203.1 , Bull 
1.20635 , 1.2107 , 1.2032 , 1.2082 , 4.2999E+12 , 0.0075 , 0.000665503 , 1445.94 , 6282.2 , Bear 
1.2082 , 1.2111 , 1.1968 , 1.20235 , 4.23431E+12 , -0.0143 , -0.002107924 , 1448.39 , 6310.9 , Bull 
1.2022 , 1.2038 , 1.2022 , 1.2025 , 1.4614E+11 , 0.0016 , 5.41773E-05 , 1448.39 , 6310.9 , Bear 
1.2025 , 1.2046 , 1.1945 , 1.1959 , 3.81076E+12 , -0.0101 , -0.002390219 , 1446.99 , 6317.9 , Bull 
1.1959 , 1.2015 , 1.1942 , 1.1989 , 4.2132E+12 , 0.0073 , 0.001088094 , 1448 , 6346.3 , Bear 
1.1989 , 1.1992 , 1.19225 , 1.1962 , 4.35621E+12 , -0.00695 , -0.000979162 , 1450.02 , 6369.5 , Bull 
1.1962 , 1.1995 , 1.1946 , 1.1991 , 4.04334E+12 , 0.0049 , 0.001051605 , 1448.31 , 6346.4 , Bear 
1.1991 , 1.2025 , 1.18915 , 1.19025 , 4.65325E+12 , -0.01335 , -0.003217213 , 1438.06 , 6382.8 , Bear 
