Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
12/15/2006,1.7655,1.7741,1.7625,1.7728,2.32E+12,0.0116,0.001964248,1427.09,6260,Bear
12/17/2006,1.7727,1.7728,1.7576,1.7719,77372000000,-0.0152,-0.000220535,1427.09,6260,Bear
12/18/2006,1.7719,1.773,1.7591,1.7624,2.10E+12,-0.0139,-0.002334724,1422.48,6247.4,Bear
12/19/2006,1.7624,1.7683,1.7515,1.756,2.32E+12,-0.0168,-0.001579973,1425.55,6203.9,Bear
12/20/2006,1.756,1.7591,1.7381,1.7439,2.11E+12,-0.021,-0.003002934,1423.53,6198.6,Bear
12/21/2006,1.7439,1.7452,1.7337,1.7372,2.06E+12,-0.0115,-0.001671757,1418.3,6183.7,Bear
12/22/2006,1.7372,1.7402,1.7304,1.7334,2.04E+12,-0.0098,-0.000951028,1410.76,6190,Bull
12/24/2006,1.7334,1.7348,1.7318,1.7338,803000000,0.003,0.000100206,1410.76,6190,Bear
12/25/2006,1.7338,1.738,1.7299,1.7306,60442000000,-0.0081,-0.000802299,1410.76,6190,Bear
12/26/2006,1.7306,1.7381,1.7264,1.7293,1.82E+12,-0.0117,-0.000326358,1416.9,6190,Bear
12/27/2006,1.7293,1.7407,1.7127,1.7192,1.91E+12,-0.028,-0.002543939,1426.84,6245.2,Bull
12/28/2006,1.7192,1.728,1.7166,1.7247,2.23E+12,0.0114,0.001387161,1424.73,6240.9,Bear
12/29/2006,1.7247,1.7294,1.7163,1.7226,1.94E+12,-0.0131,-0.00052912,1418.3,6220.8,Bull
12/31/2006,1.7227,1.7228,1.7226,1.7227,616000000,0.0002,2.52E-05,1418.3,6220.8,Bear
1/1/2007,1.7227,1.7228,1.7177,1.7187,65355000000,-0.0051,-0.001009577,1418.3,6220.8,Bull
1/2/2007,1.7187,1.7486,1.7186,1.7481,2.01E+12,0.03,0.007366196,1418.3,6310.9,Bull
1/3/2007,1.7482,1.7617,1.7458,1.7566,1.96E+12,0.0159,0.002106606,1416.6,6319,Bear
1/4/2007,1.7566,1.7587,1.7485,1.7548,2.08E+12,-0.0102,-0.000445253,1418.34,6287,Bull
1/5/2007,1.7548,1.7721,1.738,1.7704,1.99E+12,0.0341,0.003843775,1409.71,6220.1,Bear
1/7/2007,1.7701,1.7704,1.7663,1.7684,94636000000,-0.0041,-0.000490895,1409.71,6220.1,Bear
1/8/2007,1.7684,1.7724,1.7626,1.764,2.20E+12,-0.0098,-0.001081925,1412.84,6194.2,Bull
1/9/2007,1.764,1.7699,1.7613,1.764,2.08E+12,-0.0086,0,1412.11,6196.1,Bull
1/10/2007,1.764,1.7674,1.752,1.7663,2.51E+12,0.0154,0.000565888,1414.85,6160.7,Bear
1/11/2007,1.7663,1.7725,1.7578,1.7605,2.41E+12,-0.0147,-0.00142844,1423.82,6230.1,Bull
1/12/2007,1.7605,1.7781,1.7594,1.7766,2.58E+12,0.0187,0.003953628,1430.73,6239,Bull
1/14/2007,1.777,1.7788,1.7757,1.7775,1.55E+11,0.0031,0.000219952,1430.73,6239,Bear
1/15/2007,1.7775,1.7795,1.7639,1.7662,2.90E+12,-0.0156,-0.002769729,1430.73,6263.5,Bull
1/16/2007,1.7662,1.77,1.7585,1.7667,2.73E+12,0.0115,0.000122929,1431.9,6215.7,Bear
1/17/2007,1.7667,1.7703,1.7584,1.7616,2.43E+12,-0.0119,-0.001255507,1430.62,6204.5,Bear
1/18/2007,1.7616,1.7636,1.7526,1.7566,2.31E+12,-0.011,-0.001234423,1426.37,6210.3,Bull
1/19/2007,1.7566,1.7722,1.7532,1.7706,2.42E+12,0.019,0.003447581,1430.5,6237.2,Bull
1/21/2007,1.7704,1.7731,1.7696,1.7726,2341000000,0.0035,0.000490285,1430.5,6237.2,Bull
1/22/2007,1.7726,1.7885,1.7706,1.7862,1.66E+12,0.0179,0.00331934,1422.95,6218.4,Bear
1/23/2007,1.7862,1.7896,1.7805,1.783,2.31E+12,-0.0091,-0.000778742,1427.99,6227.6,Bull
1/24/2007,1.783,1.7933,1.7816,1.7837,2.26E+12,0.0117,0.000170469,1440.13,6314.8,Bear
1/25/2007,1.7837,1.789,1.7772,1.781,2.88E+12,-0.0118,-0.000657893,1423.9,6269.3,Bear
1/26/2007,1.781,1.7877,1.7665,1.7671,2.49E+12,-0.0212,-0.003402793,1422.18,6228,Bull
1/28/2007,1.767,1.7695,1.767,1.7692,1.38E+11,0.0025,0.000515804,1422.18,6228,Bear
1/29/2007,1.7692,1.7714,1.7634,1.7666,2.29E+12,-0.008,-0.000638705,1420.62,6239.9,Bull
1/30/2007,1.7666,1.7858,1.7664,1.7782,2.12E+12,0.0194,0.00284238,1428.82,6242,Bear
1/31/2007,1.7782,1.7812,1.7724,1.7745,1.95E+12,-0.0088,-0.000904602,1438.24,6203.1,Bull
2/1/2007,1.7745,1.7813,1.7711,1.7781,2.17E+12,0.0102,0.000880178,1445.94,6282.2,Bear
2/2/2007,1.7781,1.7809,1.7592,1.7626,2.41E+12,-0.0217,-0.003802416,1448.39,6310.9,Bull
2/4/2007,1.7624,1.7631,1.7609,1.7626,1.10E+11,-0.0022,0,1448.39,6310.9,Bear
2/5/2007,1.7626,1.7641,1.7434,1.7466,2.34E+12,-0.0207,-0.00396031,1446.99,6317.9,Bear
2/6/2007,1.7466,1.7516,1.7403,1.7464,2.52E+12,-0.0113,-4.97E-05,1448,6346.3,Bear
2/7/2007,1.7464,1.7466,1.7376,1.741,2.45E+12,-0.009,-0.001344952,1450.02,6369.5,Bull
2/8/2007,1.741,1.7462,1.7374,1.7445,2.13E+12,0.0088,0.000872203,1448.31,6346.4,Bear
2/9/2007,1.7445,1.7575,1.7411,1.744,2.28E+12,-0.0164,-0.000124493,1438.06,6382.8,Bear
2/11/2007,1.7441,1.7445,1.7428,1.7435,1.49E+11,-0.0017,-0.000124529,1438.06,6382.8,Bear
2/12/2007,1.7435,1.744,1.7362,1.7432,2.49E+12,-0.0078,-7.47E-05,1433.37,6353.5,Bear
2/13/2007,1.7432,1.7444,1.728,1.7356,2.33E+12,-0.0164,-0.001897576,1444.26,6381.8,Bull
2/14/2007,1.7356,1.7487,1.7331,1.7398,1.94E+12,0.0156,0.001049685,1455.3,6421.2,Bear
2/15/2007,1.7398,1.7406,1.7306,1.7389,2.24E+12,-0.01,-0.000224719,1456.81,6433.3,Bull
2/16/2007,1.7389,1.7424,1.7318,1.74185,1.77E+12,0.0106,0.000736145,1455.54,6419.5,Bull
2/18/2007,1.7417,1.7427,1.7397,1.7421,1.25E+11,0.003,6.23E-05,1455.54,6419.5,Bull
2/19/2007,1.7421,1.746,1.7406,1.7441,1.69E+12,0.0054,0.000498301,1455.54,6444.4,Bull
2/20/2007,1.7441,1.7475,1.74135,1.7454,2.16E+12,0.00615,0.00032359,1459.68,6412.3,Bear
2/21/2007,1.7454,1.7464,1.7348,1.7437,2.31E+12,-0.0116,-0.000423204,1457.63,6357.1,Bull
2/22/2007,1.7437,1.7555,1.74125,1.7517,2.11E+12,0.01425,0.001987962,1456.38,6380.9,Bear
2/23/2007,1.7517,1.7534,1.7426,1.7455,2.16E+12,-0.0108,-0.001539877,1451.19,6401.5,Bear
2/25/2007,1.7454,1.7455,1.7393,1.7396,1.32E+11,-0.0062,-0.001470454,1451.19,6401.5,Bear
2/26/2007,1.7396,1.745,1.7375,1.7395,2.31E+12,-0.0075,-2.50E-05,1449.37,6434.7,Bull
2/27/2007,1.7395,1.7567,1.7375,1.7537,2.36E+12,0.0192,0.003530869,1399.04,6286.1,Bear
2/28/2007,1.7537,1.7593,1.746,1.7495,2.27E+12,-0.0133,-0.001041355,1406.82,6171.5,Bull
3/1/2007,1.7495,1.7547,1.7434,1.7531,2.28E+12,0.0113,0.000892743,1403.17,6116,Bull
3/2/2007,1.7531,1.7586,1.7501,1.7553,2.29E+12,0.0085,0.000544663,1387.17,6116.2,Bull
3/4/2007,1.7555,1.759,1.7553,1.7588,1.67E+11,0.0037,0.000865104,1387.17,6116.2,Bear
3/5/2007,1.7588,1.7623,1.7466,1.7494,2.21E+12,-0.0157,-0.002327335,1374.12,6058.7,Bear
3/6/2007,1.7494,1.7499,1.7328,1.7359,2.22E+12,-0.0171,-0.003364419,1395.41,6138.5,Bull
3/7/2007,1.7359,1.7417,1.7342,1.7363,2.13E+12,0.0075,0.000100062,1391.97,6156.5,Bear
3/8/2007,1.7363,1.7412,1.7344,1.7353,2.24E+12,-0.0068,-0.000250198,1401.89,6227.7,Bear
3/9/2007,1.7353,1.7396,1.723,1.7259,1.96E+12,-0.0166,-0.002358938,1402.84,6245.2,Bull
3/11/2007,1.7259,1.7274,1.7248,1.7272,97916000000,0.0026,0.000327001,1402.84,6245.2,Bull
3/12/2007,1.7272,1.737,1.7225,1.7354,2.16E+12,0.0145,0.002056964,1406.6,6233.3,Bull
3/13/2007,1.7354,1.7483,1.7338,1.7465,2.48E+12,0.0145,0.002768997,1377.95,6161.2,Bull
3/14/2007,1.7465,1.7493,1.7418,1.7471,2.27E+12,0.0075,0.000149174,1387.17,6000.7,Bull
3/15/2007,1.7471,1.75955,1.744,1.7564,2.08E+12,0.01555,0.002305665,1392.28,6133.2,Bear
